id,data,ulica_1,ulica_2,sygnalizacja,rodzaj_zdarzenia,warunki_oswietleniowe,warunki_pogodowe,rodzaj_drogi,ograniczenie_predkosci [km/h],typ_nawierzchni,stan_nawierzchni,oznakowanie_poziome,rodzaj_skrzyzowania,teren_zabudowany,skrzyzowanie,teren_zabudowany_bin,nawierzchnia_twarda_bin,znaki_poziome_bin,wykroczenie,id_skrzyzowania
110055355,2021-03-15,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
110153185,2021-04-29,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
110160777,2021-05-03,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
110186789,2021-05-17,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
110221382,2021-05-30,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów tylne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Niezachowanie bezp. odleg. między pojazdami,20
110293335,2021-06-25,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów czołowe,Światło dzienne,Pochmurno,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
110377868,2021-08-05,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu,20
110932890,2021-09-29,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Inne przyczyny,20
113514349,2021-11-11,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieprawidłowe skręcanie,20
116745246,2021-12-27,WAWELSKA,GRÓJECKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,WAWELSKA / GRÓJECKA,1,1,1,Nieprawidłowe zmienianie pasa ruchu,20
