id,data,ulica_1,ulica_2,sygnalizacja,rodzaj_zdarzenia,warunki_oswietleniowe,warunki_pogodowe,rodzaj_drogi,ograniczenie_predkosci [km/h],typ_nawierzchni,stan_nawierzchni,oznakowanie_poziome,rodzaj_skrzyzowania,teren_zabudowany,skrzyzowanie,teren_zabudowany_bin,nawierzchnia_twarda_bin,znaki_poziome_bin,wykroczenie
109829864,2021-01-22,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów boczne,Noc - droga oświetlona,Opady deszczu,Dwie jezdnie jednokierunkowe,50/60,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu
109863461,2021-02-01,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów tylne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Niezachowanie bezp. odleg. między pojazdami
109890163,2021-02-14,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów tylne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Niedostosowanie prędkości do warunków ruchu
110116309,2021-04-08,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Najechanie na pojazd unieruchomiony,Światło dzienne,Opady deszczu,Dwie jezdnie jednokierunkowe,50/60,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Niezachowanie bezp. odleg. między pojazdami
110129081,2021-04-17,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Pochmurno,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu
110178793,2021-05-12,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieprawidłowe zmienianie pasa ruchu
110283441,2021-06-17,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,nie działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu
110290381,2021-06-23,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Inne przyczyny
110524758,2021-09-16,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów czołowe,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu
111721841,2021-10-03,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów tylne,Noc - droga oświetlona,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu
111756238,2021-10-15,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów boczne,Noc - droga oświetlona,Opady deszczu,Dwie jezdnie jednokierunkowe,50/60,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieprawidłowe zmienianie pasa ruchu
111798170,2021-10-16,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieprawidłowe zmienianie pasa ruchu
113046867,2021-10-30,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów tylne,Światło dzienne,Oślepiające słońce,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Inne przyczyny
113086101,2021-11-03,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów tylne,Noc - droga oświetlona,Pochmurno,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Niezachowanie bezp. odleg. między pojazdami
113499927,2021-11-01,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Dobre warunki atmosferyczne,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu
113963341,2021-12-05,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Inne,Noc - droga oświetlona,Opady deszczu,Dwie jezdnie jednokierunkowe,50/60,Twarda,"Kałuże, rozlewiska",Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Niezachowanie bezp. odleg. między pojazdami
116739945,2021-12-15,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów boczne,Światło dzienne,Opady deszczu,Dwie jezdnie jednokierunkowe,50/60,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieprawidłowe omijanie
116740088,2021-12-23,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów tylne,Światło dzienne,Pochmurno,Dwie jezdnie jednokierunkowe,50/60,Twarda,Sucha,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Niezachowanie bezp. odleg. między pojazdami
120314790,2022-01-20,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów tylne,Noc - droga oświetlona,"Opady śniegu, gradu",Dwie jezdnie jednokierunkowe,50/60,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Inne przyczyny
120322315,2022-02-10,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Zderzenie pojazdów tylne,Światło dzienne,Pochmurno,Dwie jezdnie jednokierunkowe,50/60,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Niezachowanie bezp. odleg. między pojazdami
120351684,2022-02-17,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,działa,Najechanie na pieszego,Noc - droga oświetlona,Opady deszczu,Dwie jezdnie jednokierunkowe,50/60,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieustąpienie pierwszeństwa pieszemu na przejściu dla pieszych
120449886,2022-03-31,DOLINA SŁUŻEWIECKA,NOWOURSYNOWSKA,nie działa,Zderzenie pojazdów boczne,Światło dzienne,Pochmurno,Dwie jezdnie jednokierunkowe,50/60,Twarda,Mokra,Jest,Z drogą z pierwsz.,Obszar zabudowany,DOLINA SŁUŻEWIECKA / NOWOURSYNOWSKA,1,1,1,Nieustąpienie pierwszeństwa przejazdu
