id;data;ulica_1;ulica_2;sygnalizacja;rodzaj_zdarzenia;warunki_oswietleniowe;warunki_pogodowe;rodzaj_drogi;ograniczenie_predkosci [km/h];typ_nawierzchni;stan_nawierzchni;oznakowanie_poziome;rodzaj_skrzyzowania;teren_zabudowany;skrzyzowanie;teren_zabudowany_bin;nawierzchnia_twarda_bin;znaki_poziome_bin
125570794;16.06.2023;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
125732914;07.10.2023;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Pochmurno;Dwie jezdnie jednokierunkowe;50;Twarda;Mokra;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
125881362;12.01.2024;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wit, zmrok;Pochmurno;Dwie jezdnie jednokierunkowe;50;Twarda;Mokra;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
125953814;27.02.2024;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w tylne;艢wit, zmrok;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
125999688;29.03.2024;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;Noc - droga o艣wietlona;Dobre warunki atmosferyczne;Jednojezdniowa dwukierunkowa;50;Twarda;Mokra;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
126145747;12.05.2024;WAWELSKA;GR覬ECKA;dzia艂a;Inne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Jednojezdniowa dwukierunkowa;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
126245637;05.07.2024;WAWELSKA;GR覬ECKA;brak;Inne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
126261513;20.07.2024;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
126283933;07.08.2024;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w tylne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Jednojezdniowa dwukierunkowa;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
126288392;07.08.2024;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w tylne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Jednojezdniowa dwukierunkowa;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
126298139;19.08.2024;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Jednokierunkowa;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
126314513;04.09.2024;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
126338101;20.09.2024;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;Noc - droga o艣wietlona;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
126339365;20.09.2024;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
126402152;07.10.2024;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
126796420;14.01.2025;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wit, zmrok;Opady deszczu;Dwie jezdnie jednokierunkowe;50;Twarda;Mokra;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
126830968;10.02.2025;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Pochmurno;Dwie jezdnie jednokierunkowe;50;Twarda;Mokra;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
126954405;18.05.2025;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w czo艂owe;艢wiat艂o dzienne;Pochmurno;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
126962392;23.05.2025;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wiat艂o dzienne;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
127217965;22.11.2025;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;Noc - droga o艣wietlona;Pochmurno;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
106667613;10.01.2018;WAWELSKA;GR覬ECKA;dzia艂a;Inne;Noc - droga o艣wietlona;Dobre warunki atmosferyczne;Dwie jezdnie jednokierunkowe;50;Twarda;Sucha;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
106695071;24.01.2018;WAWELSKA;GR覬ECKA;dzia艂a;Zderzenie pojazd贸w boczne;艢wit, zmrok;Dobre warunki atmosferyczne;Jednojezdniowa dwukierunkowa;50;Twarda;Mokra;Jest;Z drog膮 z pierwsz.;Obszar zabudowany;WAWELSKA / GR覬ECKA;1;1;1
